pc16,cmd,name,cmd_byte,param,byte1,byte2,format
0x0b13,cmd00,cmd00_write_param16_to_reg16,0,12881,81,50,cmd00_write_param16_to_reg16(/*param16*/ 0x3251)
0x0b16,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0b17,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x0b1a,cmd00,cmd00_write_param16_to_reg16,0,12942,142,50,cmd00_write_param16_to_reg16(/*param16*/ 0x328e)
0x0b1d,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0b1e,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0b1f,cmd06,cmd06_check_reg16_is_param16,12,2,2,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0002)
0x0b22,cmd14,cmd14_bne,28,2757,197,10,cmd14_bne(/*addr16*/ 0x0ac5)
0x0b25,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0b26,cmd00,cmdl00_write_param16_to_reg16,1,13244,188,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33bc)
0x0b29,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0b2c,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0b2d,cmd13,cmd13_beq,26,2757,197,10,cmd13_beq(/*addr16*/ 0x0ac5)
0x0b30,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0b31,cmd00,cmdl00_write_param16_to_reg16,1,13243,187,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33bb)
0x0b34,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0b37,cmd14,cmd14_bne,28,2887,71,11,cmd14_bne(/*addr16*/ 0x0b47)
0x0b3a,cmd21,cmd21_set_reg16_to_cur_seconds,42,-1,-1,-1,cmd21_set_reg16_to_cur_seconds()
0x0b3b,cmd04,cmd04_sum_reg16_param16_to_reg16,8,1,1,0,cmd04_sum_reg16_param16_to_reg16(/*param16*/ 0x0001)
0x0b3e,cmd01,cmd01_store_reg16_to_tape_addr,2,13243,187,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33bb)
0x0b41,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0b42,cmd12,cmd12_goto,24,2757,197,10,cmd12_goto(/*addr16*/ 0x0ac5)
0x0b45,cmd00,cmd00_write_param16_to_reg16,0,10762,10,42,cmd00_write_param16_to_reg16(/*param16*/ 0x2a0a)
0x0b48,cmd04,cmd04_sum_reg16_param16_to_reg16,8,1,1,0,cmd04_sum_reg16_param16_to_reg16(/*param16*/ 0x0001)
0x0b4b,cmd07,cmdl07_check_reg16_lt_param16,15,13243,187,51,cmdl07_check_reg16_lt_param16(/*param16*/ 0x33bb)
0x0b4e,cmd14,cmd14_bne,28,2900,84,11,cmd14_bne(/*addr16*/ 0x0b54)
0x0b51,cmd04,cmd04_sum_reg16_param16_to_reg16,8,60,60,0,cmd04_sum_reg16_param16_to_reg16(/*param16*/ 0x003c)
